x1,y1,z1,x2,y2,z2
0.0890055,7.790644646,6.005776882,-1.207596064,2.442935467,5.269141197
1.241557837,7.752081394,5.858918667,-1.235115528,2.386861086,5.203777313
0.407129049,7.733847618,5.583072662,-1.210616231,2.40929389,5.140551567
0.07102263,7.832770348,5.581602573,-0.011102214,2.195635319,7.134261131
-1.902624846,7.893677711,5.502279282,-0.063575454,2.21683836,7.108350754
-1.381506205,8.044167519,4.955661297,-0.028157249,2.227187872,7.133247852
0.142102897,6.464623451,10.71193504,-0.035974428,2.192283154,7.172592163
1.640481353,6.832030296,8.735918045,-0.063485622,2.227227449,7.154175758
2.056304455,6.811401367,8.166583061,-0.03932488,2.201319933,7.201620102
-1.737715602,7.055295944,7.641462326,0.009196803,2.1677742,7.190732479
2.963254452,7.030890465,7.603615761,-0.000866756,2.176944971,7.233746052
-1.729611993,7.329789639,6.930490971,-1.363546014,2.202888966,4.944365501
1.612784028,7.639884949,6.241938591,-1.397775054,2.156547785,5.053623676
-0.552999914,7.709210396,6.292620182,-1.459329247,2.079039097,5.010178089
-0.303034067,7.745185375,5.595754623,-1.496455312,2.156053543,4.827236176
0.861268401,7.724489689,5.569596291,-1.50477159,2.117338181,4.823394775
0.080937445,7.719185352,5.121778965,-1.518422961,2.128064394,4.802480221
2.390467644,7.705293655,5.010286331,-1.491758823,2.097303152,4.891966343
2.066071033,7.772352219,4.495913029,-1.512227535,2.03523922,4.910172939
-1.796465874,7.877187729,4.940628052,-1.532570839,1.973561525,4.988768578
0.386141777,7.842094898,3.944307089,-1.545235753,2.037539959,5.239180565
0.863924026,6.536477566,10.54548264,-1.537027001,2.027718306,5.333178997
1.673648238,6.394179821,10.40204811,-1.600594401,1.963200092,5.327106953
-1.719236851,7.027544498,9.031300545,-1.474481106,2.078247309,5.28345871
-1.174901962,6.653399944,9.14390564,-1.631387353,1.951611519,5.426511288
3.324896812,7.023561001,6.438985825,-1.629493594,1.90113914,5.032875061
-1.413055182,7.514775276,6.227781296,-1.617516637,1.898195148,4.899296761
-2.296099663,6.97019577,6.159867287,-1.659629703,1.904345274,5.384977818
2.108893394,7.308735847,6.109203815,-1.693879247,1.91868329,4.721369743
1.734993577,7.595330238,5.622747421,-1.598145127,1.958428383,4.824000359
-1.015166521,7.587752342,5.533689976,-1.698988318,1.897821903,4.782347202
2.888584137,7.396205902,5.271350384,-1.6974684,1.862146378,4.93608427
-1.279622316,7.954581738,4.503522396,-1.670457125,1.808943391,5.598872185
-1.106745839,6.619179249,10.21704483,-1.644253969,1.822409391,5.680999279
2.531270027,6.340888023,9.898200035,-1.594879746,1.753714561,5.734989643
1.145251155,6.659810543,9.363330841,-1.652337909,1.738680243,5.717349052
0.296095371,6.899906158,9.213101387,0.649488807,1.56849587,5.918962479
-2.742470741,6.904071808,7.779205322,0.661113918,1.602800608,6.013599873
